LETO,DRZAVA,SPOL,DELEZ
2012,Švedska,moški,7.5
2013,Švedska,ženske,6.8
2013,Švedska,moški,7.4
2014,Švedska,ženske,6.7
2014,Švedska,moški,7.4
2015,Švedska,ženske,6.4
2015,Švedska,moški,7
2016,Švedska,ženske,5.8
2016,Švedska,moški,6.7
2017,Švedska,ženske,5.7
2017,Švedska,moški,6.4
2018,Švedska,ženske,5.5
2018,Švedska,moški,5.8
2019,Švedska,ženske,6
2019,Švedska,moški,5.9
2011,Velika Britanija,ženske,6.4
2011,Velika Britanija,moški,7.6
2012,Velika Britanija,ženske,6.5
2012,Velika Britanija,moški,7.3
2013,Velika Britanija,ženske,6.3
2013,Velika Britanija,moški,7
2014,Velika Britanija,ženske,5.1
2014,Velika Britanija,moški,5.6
2015,Velika Britanija,ženske,4.5
2015,Velika Britanija,moški,4.7
2016,Velika Britanija,ženske,4.2
2016,Velika Britanija,moški,4.4
2017,Velika Britanija,ženske,3.7
2017,Velika Britanija,moški,3.9
2018,Velika Britanija,ženske,3.5
2018,Velika Britanija,moški,3.6
2019,Velika Britanija,ženske,3.2
2019,Velika Britanija,moški,3.5
