LETO,DRŽAVA,SPOL,VREDNOST
2014,Španija,ženske,25.3
2014,Francija,ženske,30.4
2014,Hrvaška,ženske,6.7
2014,Italija,ženske,32.1
2014,Ciper,ženske,16.5
2014,Latvija,ženske,8.8
2014,Litva,ženske,10.6
2014,Luksemburg,ženske,35.4
2014,Madžarska,ženske,8.3
2014,Malta,ženske,27.3
2014,Nizozemska,ženske,75.2
2014,Avstrija,ženske,47.2
2014,Poljska,ženske,10.2
2014,Portugalska,ženske,12.4
2014,Romunija,ženske,9.2
2014,Slovenija,ženske,13
2014,Slovaška,ženske,6.7
2014,Finska,ženske,17.5
2014,Švedska,ženske,35.9
2014,Velika Britanija,ženske,40.1
2015,Belgija,ženske,41.3
2015,Bolgarija,ženske,2.4
2015,Češka,ženske,9.2
2015,Danska,ženske,30.4
2015,Nemčija,ženske,47
2015,Estonija,ženske,12.9
2015,Irska,ženske,31.8
2015,Grčija,ženske,13
2015,Španija,ženske,24.9
2015,Francija,ženske,29.9
2015,Hrvaška,ženske,7.3
2015,Italija,ženske,32.4
2015,Ciper,ženske,15.6
2015,Latvija,ženske,9.9
2015,Litva,ženske,9.7
2015,Luksemburg,ženske,33.5
2015,Madžarska,ženske,7.7
2015,Malta,ženske,25.7
2015,Nizozemska,ženske,75.3
2015,Avstrija,ženske,47.8
2015,Poljska,ženske,9.8
2015,Portugalska,ženske,12.3
2015,Romunija,ženske,8.8
2015,Slovenija,ženske,12.9
2015,Slovaška,ženske,8
2015,Finska,ženske,17
2015,Švedska,ženske,34.9
2015,Velika Britanija,ženske,39.7
2016,Belgija,ženske,41.9
2016,Bolgarija,ženske,2.2
2016,Češka,ženske,9.8
2016,Danska,ženske,32.5
2016,Nemčija,ženske,46.9
2016,Estonija,ženske,12.8
2016,Irska,ženske,30.9
2016,Grčija,ženske,13.6
2016,Španija,ženske,23.9
2016,Francija,ženske,29.5
2016,Hrvaška,ženske,7
2016,Italija,ženske,32.7
2016,Ciper,ženske,15.5
2016,Latvija,ženske,10.6
2016,Litva,ženske,8.7
2016,Luksemburg,ženske,34.8
2016,Madžarska,ženske,6.8
2016,Malta,ženske,25
2016,Nizozemska,ženske,74.8
2016,Avstrija,ženske,47.9
2016,Poljska,ženske,9.5
2016,Portugalska,ženske,11.9
2016,Romunija,ženske,7.4
2016,Slovenija,ženske,12.7
2016,Slovaška,ženske,7.8
2016,Finska,ženske,18.4
2016,Švedska,ženske,34.2
2016,Velika Britanija,ženske,39.6
2017,Belgija,ženske,40.9
2017,Bolgarija,ženske,2.3
2017,Češka,ženske,10.8
2017,Danska,ženske,31.6
2017,Nemčija,ženske,46.8
2017,Estonija,ženske,12.9
2017,Irska,ženske,29.1
2017,Grčija,ženske,14
2017,Španija,ženske,23.9
2017,Francija,ženske,29.3
2017,Hrvaška,ženske,6
2017,Italija,ženske,32.5
2017,Ciper,ženske,15.5
2017,Latvija,ženske,10.4
2017,Litva,ženske,9.2
2017,Luksemburg,ženske,35.3
2017,Madžarska,ženske,6.2
2017,Malta,ženske,23.6
2017,Nizozemska,ženske,74.1
2017,Avstrija,ženske,47.9
2017,Poljska,ženske,9.8
2017,Portugalska,ženske,11.4
2017,Romunija,ženske,6.6
2017,Slovenija,ženske,13.7
2017,Slovaška,ženske,8
2017,Finska,ženske,18.6
2017,Švedska,ženske,32.9
2017,Velika Britanija,ženske,39.2
2018,Belgija,ženske,40.5
2018,Bolgarija,ženske,2
2018,Češka,ženske,10.8
2018,Danska,ženske,30.9
2018,Nemčija,ženske,46.7
2018,Estonija,ženske,14.7
2018,Irska,ženske,28.5
2018,Grčija,ženske,13.2
2018,Španija,ženske,23.6
2018,Francija,ženske,28.7
2018,Hrvaška,ženske,6.6
2018,Italija,ženske,32.4
2018,Ciper,ženske,14.2
2018,Latvija,ženske,9.6
2018,Litva,ženske,8.7
2018,Luksemburg,ženske,31.6
2018,Madžarska,ženske,6.2
2018,Malta,ženske,21.5
2018,Nizozemska,ženske,73.8
2018,Avstrija,ženske,47.6
2018,Poljska,ženske,9.5
2018,Portugalska,ženske,10.2
2018,Romunija,ženske,6.6
2018,Slovenija,ženske,13.6
2018,Slovaška,ženske,6.9
2018,Finska,ženske,18.8
2018,Švedska,ženske,31.6
2018,Velika Britanija,ženske,38.6
2019,Belgija,ženske,40.5
2019,Bolgarija,ženske,2.1
2019,Češka,ženske,10.4
2019,Danska,ženske,30.5
2019,Nemčija,ženske,47.1
2019,Estonija,ženske,15.1
2019,Irska,ženske,29
2019,Grčija,ženske,13.4
2019,Španija,ženske,23.4
2019,Francija,ženske,27.8
2019,Hrvaška,ženske,6.6
2019,Italija,ženske,32.9
2019,Ciper,ženske,14.4
2019,Latvija,ženske,10.8
2019,Litva,ženske,7.8
2019,Luksemburg,ženske,30.1
2019,Madžarska,ženske,6.7
2019,Malta,ženske,20.6
2019,Nizozemska,ženske,73.4
2019,Avstrija,ženske,47.8
2019,Poljska,ženske,9.1
2019,Portugalska,ženske,10.7
2019,Romunija,ženske,6
2019,Slovenija,ženske,12
2019,Slovaška,ženske,6.4
2019,Finska,ženske,19.2
2019,Švedska,ženske,30.7
2019,Velika Britanija,ženske,38.2
